candidato,alias,siguiendomomento2,siguiendomomento1,Momento
Beingolea,BeingoleaA,19941,19266,Momento1
Belmont,RicardoBelmontC,5604,5038,Momento1
Capunay,EstherCapunay,8014,7571,Momento1
Castaneda,luchocastanedap,6865,6558,Momento1
Columbus,DitelColumbus,16047,15822,Momento1
Cornejo,ENRIQUECORNEJOR,39373,39083,Momento1
Fernandez,EnriquePorLima,74,34,Momento1
Gago,JulioGagoPe,22072,22032,Momento1
Gil,JoseLuisGil1000,6293,6063,Momento1
Gomez Baca,GomezBacaxLima,1049,1022,Momento1
Guerra,GGG_pe,13513,11459,Momento1
Lay,humberto_lay,18257,18077,Momento1
Munoz,JorgeMunozAP,20139,18488,Momento1
Ocrospoma,kikeocrospoma,2944,2862,Momento1
Reggiardo,Renzo_Reggiardo,33396,32698,Momento1
Salinas,jaimesalinas80,4568,4397,Momento1
Urresti,DanielUrresti1,353536,352189,Momento1
Velarde,ManuelVelardeD,8474,6341,Momento1
Villacorta,mikausape,188,132,Momento1
Zurek,juancarloszurek,1745,1680,Momento1
Beingolea,BeingoleaA,20323,19941,Momento2
Belmont,RicardoBelmontC,5758,5604,Momento2
Capunay,EstherCapunay,8127,8014,Momento2
Castaneda,luchocastanedap,6998,6865,Momento2
Columbus,DitelColumbus,16130,16047,Momento2
Cornejo,ENRIQUECORNEJOR,39476,39373,Momento2
Fernandez,EnriquePorLima,109,74,Momento2
Gago,JulioGagoPe,22112,22072,Momento2
Gil,JoseLuisGil1000,6323,6293,Momento2
Gomez Baca,GomezBacaxLima,1068,1049,Momento2
Guerra,GGG_pe,14077,13513,Momento2
Lay,humberto_lay,18333,18257,Momento2
Munoz,JorgeMunozAP,23710,20139,Momento2
Ocrospoma,kikeocrospoma,2969,2944,Momento2
Reggiardo,Renzo_Reggiardo,33691,33396,Momento2
Salinas,jaimesalinas80,4628,4568,Momento2
Urresti,DanielUrresti1,354065,353536,Momento2
Velarde,ManuelVelardeD,9650,8474,Momento2
Villacorta,mikausape,206,188,Momento2
Zurek,juancarloszurek,1775,1745,Momento2