candidato,alias,TAfterDeb,Telecciones,Candidato,likesToPage,talkingAbout,totEngagement,averageEngagement,engagementLike,engagementComm,engagementShare,fotosOnPage,linksOnPage,videoOnPage,statusOnPage,totPostOnPage
Beingolea,BeingoleaA,20323,21627,Beingolea,12473,2025,4579,79,3603,222,754,33,0,24,1,33
Belmont,RicardoBelmontC,5758,5935,Belmont,117029,39945,356796,4299,136570,135212,85040,9,0,73,1,9
Capunay,EstherCapunay,8127,9028,Capu–ay,71148,14795,57657,501,26785,9571,21301,20725,1221,35646,66,115
Castaneda,luchocastanedap,6998,7122,Casta–eda,7522,4090,40639,782,23194,12975,4470,16212,0,24427,0,52
Columbus,DitelColumbus,16130,16329,Columbus,13172,11044,25359,276,16073,2596,6690,11953,62,13344,0,92
Cornejo,ENRIQUECORNEJOR,39476,39710,Cornejo,76556,24303,43546,2903,25116,4966,13464,25555,0,17991,0,15
Fernandez,EnriquePorLima,109,4881,Fernandez,20706,108831,155467,1003,96444,10048,48975,45168,4157,104104,2038,155
Gago,JulioGagoPe,22112,22219,Gago,8213,6350,13603,146,5329,6413,1861,54,7,30,2,93
Gomez Baca,GomezBacaxLima,1068,1092,Gomez Baca,32858,992,6066,98,3694,1401,971,27,3,29,3,62
Guerra Garcia,GGG_pe,14077,14923,Guerra Garcia,56091,492,1686,51,1065,99,522,11,3,19,,33
Lay,humberto_lay,18333,18448,Lay,70906,7307,32484,591,18887,2141,11456,5572,5695,19454,1763,55
Munoz,JorgeMunozAP,23710,29233,Mu–oz,154473,219166,476649,2020,310249,45003,121407,188,3,42,3,191
Ocrospoma,kikeocrospoma,2969,4426,Ocrospoma,11563,5408,19989,241,7378,7104,5507,33,1,49,,83
Reggiardo,Renzo_Reggiardo,33691,34039,Reggiardo,34218,617219,118050,522,63142,41667,13241,70,4,150,2,74
Salinas,jaimesalinas80,4628,4653,Salinas,12370,1522,26904,402,19137,2070,5697,8585,1003,17316,0,67
Urresti,DanielUrresti1,354065,355302,Urrestri,237673,113530,579444,2336,339549,95554,144341,70,4,165,9,74
Velarde,ManuelVelardeD,9650,10229,Velarde,93161,12769,66786,997,52893,3618,10275,38074,0,28712,0,67
Villacorta,mikausape,206,215,Villacorta,2593,533,4896,77,3709,428,759,33,3,28,,64
Zurek,juancarloszurek,1775,1791,Zurek,59155,28009,143348,1247,90829,30807,21712,64978,10435,67935,0,115