,source,target,is_a,weight
0,RicardoBelmontC,Teodulo_alban,friend,58.4
1,RicardoBelmontC,SapaInka,friend,101.9
2,RicardoBelmontC,Arkanus69,friend,112.666666667
3,RicardoBelmontC,ElsaRuth,friend,98.7333333333
4,RicardoBelmontC,ProeticaPeru,friend,106.433333333
5,RicardoBelmontC,Sol_OConnor,friend,113.766666667
6,RicardoBelmontC,AbelRevoredo,friend,118.866666667
7,RicardoBelmontC,TognettiDaniel,friend,102.966666667
8,RicardoBelmontC,DiegoCarpio,friend,113.433333333
9,RicardoBelmontC,JoseluisJustino,friend,93.2666666667
10,RicardoBelmontC,BlankMorena,friend,63.9666666667
11,RicardoBelmontC,josecassinelli,friend,109.033333333
12,RicardoBelmontC,creadoss,friend,88.9666666667
13,RicardoBelmontC,RAURAU2013,friend,66.6333333333
14,RicardoBelmontC,RegistroNuevo01,friend,110.466666667
15,RicardoBelmontC,Miss_Delaney,friend,116.433333333
16,RicardoBelmontC,VLADIMIR_CERRON,friend,78.8
17,RicardoBelmontC,lamula,friend,114.466666667
18,RicardoBelmontC,KeikoFujimori,friend,111.566666667
19,RicardoBelmontC,JorgeDCG,friend,104.266666667
20,RicardoBelmontC,kvilladiaz,friend,95.5333333333
21,RicardoBelmontC,tribunaltele,friend,63.9666666667
22,RicardoBelmontC,hootsuite,friend,119.7
23,RicardoBelmontC,nicieganimuda,friend,69.6333333333
24,RicardoBelmontC,alexaron20,friend,112.966666667
25,RicardoBelmontC,FredyOtarola,friend,110.133333333
26,RicardoBelmontC,LeslyCastilloOF,friend,72.3666666667
27,RicardoBelmontC,YashaiiGarcia2,friend,59.8
28,RicardoBelmontC,Daniel_Titinger,friend,118.666666667
29,RicardoBelmontC,raulrocha14,friend,67.0
30,RicardoBelmontC,ACTransparencia,friend,109.7
31,RicardoBelmontC,humberto_lay,friend,85.4333333333
32,RicardoBelmontC,CeNelida,friend,72.7666666667
33,RicardoBelmontC,derlyfeat,friend,78.4666666667
34,RicardoBelmontC,Oscarsegura33,friend,106.1
35,RicardoBelmontC,antonio_88,friend,108.166666667
36,RicardoBelmontC,MMBAZ,friend,109.2
37,RicardoBelmontC,pattysotoz,friend,106.933333333
38,RicardoBelmontC,AndresHurtadoGR,friend,49.2666666667
39,RicardoBelmontC,xxnilxx,friend,113.933333333
40,RicardoBelmontC,kevin_es_,friend,99.3
41,RicardoBelmontC,Jcastillista,friend,90.6333333333
42,RicardoBelmontC,Carlos_Yancul,friend,103.733333333
43,RicardoBelmontC,Pontifex_es,friend,78.6666666667
44,RicardoBelmontC,renzoferrer,friend,125.8
45,RicardoBelmontC,orbisa35,friend,114.133333333
46,RicardoBelmontC,crisscord,friend,111.233333333
47,RicardoBelmontC,nelsiculquia,friend,91.2333333333
48,RicardoBelmontC,MilagrosLeivaG,friend,94.0333333333
49,RicardoBelmontC,giovannareate,friend,102.7
50,RicardoBelmontC,YehudeSimonM,friend,111.033333333
51,RicardoBelmontC,CGTNOfficial,friend,68.1666666667
52,RicardoBelmontC,VHMok,friend,98.0666666667
53,RicardoBelmontC,gaston_acurio,friend,113.8
54,RicardoBelmontC,yabar,friend,119.133333333
55,RicardoBelmontC,brayancito1996,friend,65.3333333333
56,RicardoBelmontC,coquidiaz78,friend,86.8666666667
57,RicardoBelmontC,jaimeasian,friend,95.3
58,RicardoBelmontC,Michipulso,friend,103.733333333
59,RicardoBelmontC,peruenlanoticia,friend,55.2
60,RicardoBelmontC,elhermanon,friend,65.5333333333
61,RicardoBelmontC,alonsodb,friend,99.9333333333
62,RicardoBelmontC,PatadaDeCojo,friend,112.933333333
63,RicardoBelmontC,Martin1112,friend,106.5
64,RicardoBelmontC,leahsacin,friend,104.333333333
65,RicardoBelmontC,ELV1221,friend,90.6333333333
66,RicardoBelmontC,mespinoza35,friend,101.466666667
67,RicardoBelmontC,NzoAnchante,friend,110.233333333
68,RicardoBelmontC,ischargro,friend,102.066666667
69,RicardoBelmontC,jkusunoki,friend,140.566666667
70,RicardoBelmontC,thejotaefe,friend,93.1
71,RicardoBelmontC,arturozavala66,friend,67.9333333333
72,RicardoBelmontC,weinfeldenlaso,friend,86.2333333333
73,RicardoBelmontC,DieSalasCabral,friend,100.566666667
74,RicardoBelmontC,PPdeVinatea,friend,88.0
75,RicardoBelmontC,Dayvid28,friend,98.2666666667
76,RicardoBelmontC,InesCuba,friend,88.9666666667
77,RicardoBelmontC,fatimaup,friend,112.033333333
78,RicardoBelmontC,pnacionalistap,friend,108.933333333
79,RicardoBelmontC,DiegoPajaresH,friend,114.4
80,RicardoBelmontC,elvecinope,friend,87.6
81,RicardoBelmontC,Rosario_Sasieta,friend,113.466666667
82,RicardoBelmontC,jcvargasto,friend,73.2666666667
83,RicardoBelmontC,Laprimavale,friend,100.766666667
84,RicardoBelmontC,ADiezGol,friend,73.3666666667
85,RicardoBelmontC,JlmYaperu,friend,106.1
86,RicardoBelmontC,UndergroundFake,friend,91.3666666667
87,RicardoBelmontC,AlbertoSativa,friend,41.2666666667
88,RicardoBelmontC,alfredoferrerod,friend,94.6
89,RicardoBelmontC,Habla_El_Pueblo,friend,80.5
90,RicardoBelmontC,martinhidalgo,friend,114.1
91,RicardoBelmontC,katygarax,friend,112.833333333
92,RicardoBelmontC,MonteroRock,friend,82.4333333333
93,RicardoBelmontC,MininterPeru,friend,105.766666667
94,RicardoBelmontC,Sinlapis,friend,81.2666666667
95,RicardoBelmontC,ricrep1,friend,73.2666666667
96,RicardoBelmontC,ONPE_oficial,friend,91.6
97,RicardoBelmontC,giraug,friend,112.6
98,RicardoBelmontC,a_sotoc,friend,99.9666666667
99,RicardoBelmontC,Radio_RBCFM,friend,53.4666666667
100,RicardoBelmontC,BrunoPinasco,friend,114.6
101,RicardoBelmontC,AnthonyHZP,friend,67.7
102,RicardoBelmontC,VMJBruzzon,friend,72.6333333333
103,RicardoBelmontC,eabusad,friend,100.9
104,RicardoBelmontC,CIROSILVAPAREDE,friend,91.1333333333
105,RicardoBelmontC,JoseRocha_A,friend,95.0
106,RicardoBelmontC,RobertoYsla,friend,76.1666666667
107,RicardoBelmontC,catalo,friend,127.0
108,RicardoBelmontC,Carlonchillo,friend,112.5
109,RicardoBelmontC,Carayca,friend,93.2
110,RicardoBelmontC,otiliaelisa,friend,90.9666666667
111,RicardoBelmontC,T_606,friend,111.333333333
112,RicardoBelmontC,gala_peru,friend,93.1333333333
113,RicardoBelmontC,pilarcmq,friend,89.9
114,RicardoBelmontC,tanquedecasma,friend,111.433333333
115,RicardoBelmontC,Cristianforo,friend,81.5333333333
116,RicardoBelmontC,gobregionlima,friend,91.8333333333
117,RicardoBelmontC,egarditus,friend,64.9
118,RicardoBelmontC,radiolaorilla,friend,99.5
119,RicardoBelmontC,cpalomino,friend,133.233333333
120,RicardoBelmontC,paolorey_es,friend,112.833333333
121,RicardoBelmontC,angelvera20,friend,102.833333333
122,RicardoBelmontC,tiger2293,friend,63.1
123,RicardoBelmontC,PAULINAALY,friend,113.733333333
124,RicardoBelmontC,JaimeHerreraCaj,friend,109.2
125,RicardoBelmontC,IvoMalpartida,friend,90.8333333333
126,RicardoBelmontC,robdnavarro,friend,76.1666666667
127,RicardoBelmontC,twitcam,friend,131.766666667
128,RicardoBelmontC,cusiman,friend,114.766666667
129,RicardoBelmontC,jeanpi_pi,friend,102.6
130,RicardoBelmontC,Coco_Arevalo,friend,103.366666667
131,RicardoBelmontC,elpunzante,friend,63.7666666667
132,RicardoBelmontC,LUCIANA_LEON_R,friend,112.433333333
133,RicardoBelmontC,CarlosCrdnasBer,friend,77.4333333333
134,RicardoBelmontC,fantinofantino,friend,79.3666666667
135,RicardoBelmontC,VeryNiceTrue,friend,114.666666667
136,RicardoBelmontC,marlonai2010,friend,95.4
137,RicardoBelmontC,nzaibot,friend,113.333333333
138,RicardoBelmontC,ElizabethGLP,friend,67.4333333333
139,RicardoBelmontC,lucerocrdz,friend,113.233333333
140,RicardoBelmontC,pepex_,friend,100.133333333
141,RicardoBelmontC,amigasdenadie,friend,114.166666667
142,RicardoBelmontC,jeanbryanramos,friend,82.0333333333
143,RicardoBelmontC,echamealtoro,friend,84.4
144,RicardoBelmontC,dmarccas,friend,111.433333333
145,RicardoBelmontC,CarlosLeonAlz,friend,81.0333333333
146,RicardoBelmontC,David86221970,friend,4.13333333333
147,RicardoBelmontC,Italoperu,friend,92.5333333333
148,RicardoBelmontC,amnesico,friend,140.633333333
149,RicardoBelmontC,eldestapeweb,friend,48.5333333333
